trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
3,PLR122,unexpected_b,pre,1002,4810,3,0,NaN,1478.4343,45.1397,-189.2344,-312.0456,-13.0099,145.1848
4,PLR122,unexpected_b,pre,1003,4812,4,1,6333,1464.1394,-1.608,-238.5144,-204.4567,-4.9693,70.4399
5,PLR122,unexpected_w,pre,1003,4810,5,0,NaN,1299.745,134.092,-102.8227,-324.2702,-261.7177,-230.2688
6,PLR122,unexpected_b,pre,1003,4808,6,1,6335,1115.0159,162.2469,144.7001,92.358,102.0135,134.5158
7,PLR122,anticipated_b,pre,1002,4810,1,0,NaN,1261.4775,-237.407,-9.1832,165.2116,389.5246,452.9749
8,PLR122,anticipated_w,pre,1003,4810,1,1,6338,1255.4622,190.6172,217.8228,341.2143,528.1219,591.2363
9,PLR122,anticipated_b,pre,1003,4812,2,1,6335,1607.5835,-178.0978,-291.3434,-288.5688,-119.3734,-27.1629
10,PLR122,unexpected_b,pre,1002,4808,7,0,NaN,1382.3187,81.5789,20.125,143.1603,293.8788,321.2844
11,PLR122,anticipated_b,pre,1002,4810,3,1,6337,1310.4363,-31.6174,157.0616,243.7192,365.673,442.6431
12,PLR122,anticipated_b,pre,1002,4810,4,0,NaN,1309.2151,205.7919,-20.4921,27.0033,68.4834,-43.0723
13,PLR122,anticipated_b,pre,1002,4810,5,0,NaN,1284.4661,102.1158,-48.0127,-42.2846,70.0423,131.1053
14,PLR122,anticipated_w,pre,1002,4810,2,1,6416,1063.5493,-8.4631,241.7802,348.3624,514.4317,601.2205
15,PLR122,unexpected_b,pre,1003,4810,8,0,NaN,1038.9307,47.8533,133.9907,317.6996,307.2647,329.6725
16,PLR122,anticipated_b,pre,1002,4810,6,1,6382,1424.8002,-147.1296,67.1045,251.3741,412.7313,441.4855
17,PLR122,anticipated_w,pre,1002,4810,3,0,NaN,1060.1833,195.0625,507.9722,594.6902,509.1901,458.0515
18,PLR122,unexpected_b,pre,1002,4810,9,0,NaN,1413.4094,-142.022,-10.6783,144.5041,87.7545,-63.8062
19,PLR122,anticipated_b,pre,1003,4808,7,0,NaN,1387.6375,132.7232,71.1091,89.684,47.2764,104.6006
20,PLR122,unexpected_b,pre,1003,4812,10,0,NaN,1165.8685,9.7166,14.4763,173.2365,101.9004,131.1077
21,PLR122,anticipated_w,pre,1003,4812,4,0,NaN,1235.0199,103.041,64.7763,263.8099,269.8057,320.369
22,PLR122,anticipated_b,pre,1003,4810,8,1,6339,1367.5487,-82.5413,109.9576,221.6718,223.2895,315.5941
23,PLR122,anticipated_w,pre,1003,4810,5,0,NaN,1070.6135,179.7373,140.3161,159.1638,336.1911,392.8706
