trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
54,PLR125,anticipated_w,post,1002,4810,18,0,1837.6089,102.9436,379.2393,66.139,559.2503
55,PLR125,unexpected_w,post,1003,4808,18,0,2029.84,-200.5623,-340.1444,-437.5512,43.5108
56,PLR125,unexpected_b,post,1002,4812,19,0,1504.378,371.5044,701.8002,276.7643,545.4245
57,PLR125,anticipated_w,post,1002,4810,19,0,1620.7738,208.806,212.0486,58.0476,687.4257
58,PLR125,anticipated_b,post,1002,4810,20,0,1704.428,-256.5368,-386.0488,-90.1675,483.3451
59,PLR125,unexpected_w,post,1002,4812,20,0,1401.788,119.9452,-2.1937,-48.4948,232.4053
60,PLR125,anticipated_w,post,1002,4808,20,1,1440.798,42.389,318.7412,155.0234,813.1222
1,PLR126,anticipated_w,pre,1001,4838,1,1,1553.1475,-184.6395,233.3987,306.4386,504.3105
2,PLR126,anticipated_w,pre,1002,4812,2,1,1610.9414,-93.4624,308.132,331.3044,363.6028
3,PLR126,anticipated_w,pre,1002,4810,3,1,1577.908,203.1886,267.5479,64.7412,126.1613
4,PLR126,anticipated_w,pre,1003,4812,4,0,1721.26,165.5139,-34.1329,-50.6487,106.0929
5,PLR126,anticipated_b,pre,1003,4810,1,1,1288.014,197.9461,637.6936,657.7171,786.341
6,PLR126,unexpected_w,pre,1003,4812,1,0,1789.9492,-72.1299,83.3049,76.5382,205.3596
7,PLR126,unexpected_w,pre,1003,4812,2,0,1659.4614,-313.5391,86.3895,224.1059,15.4462
8,PLR126,unexpected_w,pre,1003,4810,3,1,1734.176,172.5572,17.5414,-184.6256,20.7085
9,PLR126,anticipated_b,pre,1003,4812,2,1,1543.014,-102.6653,249.3137,320.8326,587.5553
10,PLR126,anticipated_w,pre,1003,4808,5,0,1639.862,-147.6708,53.1493,-96.6975,-298.2738
11,PLR126,anticipated_b,pre,1002,4812,3,0,1370.518,173.2383,460.8559,270.0935,199.2596
12,PLR126,unexpected_w,pre,1003,4812,4,0,1699.554,89.8347,-53.6757,-373.3208,-18.5288
13,PLR126,anticipated_b,pre,1003,4812,4,0,1732.0356,-50.5356,211.937,299.5022,457.0631
14,PLR126,anticipated_w,pre,1002,4810,6,0,1638.9466,-30.7354,39.8622,100.6584,279.0786
15,PLR126,anticipated_w,pre,1003,4810,7,0,1300.662,255.1741,377.2548,91.7498,-34.5591
16,PLR126,anticipated_b,pre,1002,4810,5,0,1717.54,132.4327,277.9726,223.7908,44.3695
17,PLR126,unexpected_b,pre,1003,4812,5,0,1620.816,158.3782,45.5784,-385.2068,36.2491
18,PLR126,anticipated_w,pre,1002,4810,8,1,1432.124,154.7016,297.7795,202.3487,362.1701
19,PLR126,anticipated_b,pre,1003,4812,6,0,1969.472,-26.2493,-123.99,-434.0266,-84.1233
20,PLR126,anticipated_b,pre,1002,4808,7,0,1800.336,-216.544,11.5695,-216.3507,-262.2646
21,PLR126,anticipated_b,pre,1003,4812,8,1,1448.002,82.1997,112.163,57.9707,18.2816
22,PLR126,anticipated_w,pre,1002,4810,9,0,1378.78,200.8797,396.5141,90.9973,-3.1476
23,PLR126,unexpected_w,pre,1002,4810,6,0,1605.504,182.9309,167.5485,-30.4599,186.0947
24,PLR126,anticipated_b,pre,1003,4812,9,0,1581.322,236.5877,332.3083,313.6843,270.241
25,PLR126,anticipated_w,pre,1002,4808,10,0,1541.208,177.3739,321.778,319.0504,356.1344
26,PLR126,anticipated_b,pre,1002,4810,10,0,1796.574,-5.8912,99.3441,-317.1979,-288.1391
27,PLR126,anticipated_w,post,1003,4812,11,1,1579.778,158.4069,101.1835,-50.4776,163.3481
28,PLR126,anticipated_w,post,1003,4810,12,1,1968.9081,-280.2738,-45.3178,-126.3327,-78.4249
29,PLR126,anticipated_b,post,1002,4810,11,0,1696.136,-2.9385,100.6875,-55.3437,45.7485
30,PLR126,unexpected_b,pre,1003,4808,7,0,1526.282,212.6356,48.0946,185.51,420.01
31,PLR126,anticipated_w,post,1003,4812,13,1,1433.3433,72.4485,162.4634,150.955,341.1483
32,PLR126,unexpected_b,pre,1002,4810,8,0,1489.063,161.1408,443.2415,222.9496,348.6828
33,PLR126,unexpected_b,pre,1002,4812,9,0,1316.154,212.6884,373.8702,472.6464,645.93
34,PLR126,anticipated_w,post,1002,4810,14,0,1158.101,270.7225,652.17,489.2204,510.9683
35,PLR126,anticipated_b,post,1003,4810,12,0,1736.316,57.8605,31.6224,-208.5933,-4.9463
36,PLR126,unexpected_b,pre,1003,4812,10,0,1738.398,24.7053,-165.7109,-361.4967,-53.7152
37,PLR126,unexpected_b,post,1003,4812,11,0,1650.5,15.4391,-32.0609,-373.3487,-203.7543
38,PLR126,anticipated_b,post,1002,4810,13,0,1361.3368,172.4867,482.2682,160.1096,315.4699
39,PLR126,anticipated_b,post,1003,4810,14,0,1291.55,258.7735,216.1346,165.9645,134.2147
40,PLR126,unexpected_w,post,1002,4808,12,0,1672.536,118.7681,-16.9625,-111.8574,-2.5654
41,PLR126,unexpected_w,post,1002,4810,13,0,1863.824,-32.7169,-146.7095,-314.6391,-20.2799
42,PLR126,anticipated_w,post,1002,4810,15,0,1754.24,170.1582,55.1642,-80.9176,-9.2904
43,PLR126,anticipated_b,post,1003,4812,15,1,1822.668,77.5484,-58.3151,20.7816,242.3992
44,PLR126,unexpected_b,post,1003,4810,14,0,1522.842,212.0277,112.0362,-258.7622,-120.0522
45,PLR126,anticipated_w,post,1003,4810,16,0,1618.832,64.7959,89.759,163.0104,423.5882
46,PLR126,anticipated_w,post,1002,4810,17,0,1473.802,78.3808,199.6234,176.3367,148.008
47,PLR126,unexpected_b,post,1003,4810,15,0,1806.358,-27.4189,4.1632,-349.7193,-305.5177
48,PLR126,unexpected_w,post,1002,4810,16,0,1641.604,111.4574,74.0963,83.5704,248.562
49,PLR126,anticipated_b,post,1002,4810,16,0,1752.146,65.3939,295.7569,303.0452,319.2385
