trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window380,window760,window1140,window1520,window1900,window2280,window2660,window3040,window3420,window3800,window4180,window4560,window4940,window5320,window5700,window6080,window6460,window6840,window7220
19,PLR139,unexpected_w,1,pre,1st,1002,4810,5,0,4693.6159,114.2161,-114.4198,-10.2389,74.2216,209.3408,-270.1486,-329.6199,117.1559,286.9402,315.331,-18.2494,-2021.0503,-2386.7342,-2175.451,-1995.0243,-1470.3128,-834.6625,-463.6357,-293.6393,-211.2443
20,PLR139,unexpected_w,1,pre,2nd,1003,4810,6,0,4762.9857,44.0302,-26.6695,-256.0865,-317.8527,-192.4713,-401.0754,-153.6345,55.3895,99.0766,-352.8805,-552.7936,-2215.4177,-2350.3222,-1783.1359,-1635.8521,-1897.049,-1205.3219,-814.5243,-821.5192,-1357.3732
21,PLR139,anticipated_w,1,post,3rd,1002,4812,11,0,3730.2644,157.7039,-166.9388,61.0977,410.0501,657.5969,429.9281,-235.367,-116.5551,343.5253,71.6777,-648.1566,-1404.8858,-1633.5401,-1439.8729,-1352.6285,-1308.1341,-599.9972,-176.1059,13.2894,23.1888
22,PLR139,unexpected_b,0,pre,2nd,1003,4812,7,0,3791.7558,-80.9422,65.2197,98.1378,253.8897,476.7097,797.2306,487.9016,367.1769,299.5941,372.6843,635.2124,918.8264,1233.6616,1618.9863,1354.2918,-143.7756,-799.1003,-1013.3051,-744.0884,-273.3183
23,PLR139,unexpected_b,0,pre,2nd,1003,4812,8,0,4385.0936,86.4809,-52.1261,-546.0517,-163.7437,122.02,359.3805,276.7225,378.168,566.6699,612.0458,844.1979,959.5222,1057.1382,1188.3703,1170.2269,-377.3528,-468.4132,42.8762,321.1563,568.9835
24,PLR139,anticipated_b,0,pre,1st,1002,4810,5,0,4170.0575,-30.6336,18.9276,-65.0785,-109.8264,-218.7909,74.1049,310.8787,512.1224,595.1379,481.933,523.8296,779.1094,1088.8988,1384.2134,1161.0947,-397.4572,-659.9184,-172.5812,-45.4783,295.6402
25,PLR139,anticipated_w,1,post,3rd,1002,4808,12,0,4764.3141,-137.6432,125.1908,94.4584,161.8199,230.7924,231.8103,395.2781,451.8669,405.8538,185.4145,119.6414,-1795.528,-2164.0713,-1960.3864,-1954.6372,-1383.0579,-682.6495,-331.835,-141.322,-33.2647
26,PLR139,anticipated_w,1,post,3rd,1002,4810,13,1,5154.854,14.9763,-5.0272,-134.0103,-210.3704,-122.8646,-0.21003,70.2588,95.0615,150.2553,-23.1739,-319.801,-2220.954,-2643.4738,-2721.0709,-2524.4034,-1971.651,-1179.8237,-810.5689,-619.9684,-471.2073
27,PLR139,unexpected_b,0,pre,2nd,1003,4810,9,0,4745.2518,-67.5848,63.9334,39.3841,-235.2227,-154.6984,-96.9713,143.7212,226.9515,151.8181,49.8288,15.0102,311.0155,586.6032,879.0125,826.221,-846.7539,-1313.2765,-1130.258,-710.2299,-461.7728
28,PLR139,unexpected_w,1,pre,2nd,1002,4810,10,0,4680.1047,-95.5453,89.2642,234.122,314.9236,304.1815,280.6638,53.9376,-53.1412,58.7895,188.2914,-280.9352,-2143.1444,-2471.1168,-2187.7338,-2118.768,-1646.4643,-958.4652,-618.0545,-393.9389,-163.2068
29,PLR139,anticipated_b,0,pre,2nd,1002,4810,6,0,5243.0814,-14.0312,16.376,6.7654,22.4645,188.3328,257.1135,-36.3467,-601.8888,-305.241,-134.0174,-94.4934,-30.7176,64.7325,248.9261,189.047,-1463.3933,-1816.8519,-1653.3503,-1521.0166,-1134.6573
30,PLR139,unexpected_b,0,post,3rd,1002,4808,11,0,4847.358,-75.7626,66.6118,140.9173,-594.2178,-505.1111,-244.1785,-34.6792,191.0603,59.5282,13.1044,254.0265,366.3143,543.794,792.8951,363.4293,-1110.6749,-1418.4131,-853.8235,-593.0227,-377.125
