trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
51,PLR132,unexpected_b,0,post,4th,1003,4812,18,0,2103.5116,2180.3613,2574.2379,3101.7491,3236.1518,3259.2932,3461.1623,3604.5079,3755.8743,3887.8691,3996.0209,3858.5864,3794.6283,4220.7068,4684.9005,4738.5288,3125.5707,2731.5707,2663.377,2995.7539,2632.0052
52,PLR132,unexpected_b,0,post,4th,1002,4808,19,0,3795.804,3924.199,3845.0262,3956.089,4096.1504,4007.9954,3640.7644,3490.8639,3592.3665,3684.1675,3784.0471,3831.3665,3967.7225,4262.2775,4660,4676.6859,3153.4764,2911.6754,3243.3403,2977.6126,3376.9215
53,PLR132,anticipated_w,1,post,4th,1003,4812,17,0,3767.973,3757.75,3487.2749,3523.0838,3858.2937,4053.4607,4255.1361,4335.5602,4480.1571,4592.5497,4713.7225,4566.8429,2566.8515,1849.4445,1694.9634,1649.7906,1909.6951,2633.5131,3238.534,3496.2565,3656.1518
54,PLR132,unexpected_b,0,post,4th,1003,4812,20,0,4087.162,4185.6327,4275.3685,4237.6597,4298.0419,4425.3141,4400.0262,4054.7225,4169.1414,4388.0471,4425.3298,3980.0419,3864.2304,4238.178,4684.6178,4742.9424,3343.9921,3102.466,3597.7958,3996.1309,4133.4293
55,PLR132,anticipated_w,1,post,4th,1002,4812,18,0,3432.87,3598.2827,3698.0419,3955.4974,4166.9686,4123.9215,4031.8063,3757.6335,4136.1361,4384.9843,4522.2984,4193.2251,1951.8691,1457.0209,1353.9372,1766.0209,2306.1093,2974.5857,3316.9476,3522.9476,3746.3194
56,PLR132,anticipated_b,0,post,4th,1002,4810,18,0,4098.876,4180.8482,4160.7277,4179.9895,4319.974,4325.9895,4259.0785,4093.8848,3831.1571,3627.0314,3721.6283,3956.6283,4014.4293,4366.7644,4764.6754,4768.1309,3315.8063,2668.6754,2652.9267,3064.7906,3006.6387
57,PLR132,anticipated_w,1,post,4th,1003,4810,19,0,3322.292,3317.0314,3511.1467,3815.1867,4015.1301,4158.8704,4356.0733,4331.5131,4397.5393,4472.6073,4527.2932,3790.2356,1718.5969,1228.4555,1227.2513,1083.5183,1344.5602,1936.7853,2293.0209,2655.1623,2882.1885
58,PLR132,anticipated_b,0,post,4th,1003,4810,19,0,3508.1134,3497.4188,3651,3912.8901,4084.8325,4139.0681,4217.555,4140.5236,4113.534,4185.2827,4199.801,4257.178,4294.0838,4430.7016,4728.1099,4625.5288,2983.7435,2176.9529,1994.0524,1641.0209,1538.8553
59,PLR132,anticipated_b,0,post,4th,1003,4810,20,0,2464.254,2711.089,3065.8272,3304.0628,3550.8272,3190.8901,3265.0209,3592.6283,3774.3665,3785.2199,3519.7225,3208.8586,2706.9005,3377.911,4021.0471,4394.6859,3230.4346,2722.9791,2437.1675,2651.6341,2601.9031
60,PLR132,anticipated_w,1,post,4th,1003,4812,20,0,3682.916,3807.0524,3892.1466,3919.7539,3991.7539,4080.6492,4125.6492,4145.1937,4109.3089,4087.4921,4211.3351,3800.3874,1722.5602,1186.6597,985.0314,854.4346,1047.1252,1666.353,2102.4211,2485.6702,2734.4555
