trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window38,window418,window798,window1178,window1558,window1938,window2318,window2698,window3078,window3458,window3838,window4218,window4598,window4978,window5358,window5738,window6118,window6498,window6878,window7258
35,PLR127,anticipated_w,1,post,3rd,1002,4810,12,0,2176.8465,2192.057,2166.652,2121.9248,2030.5222,1940.9683,2039.0278,2102.6442,2205.0453,2274.7265,2216.4023,2156.8376,1135.7707,1013.5317,1102.8196,1325.389,1569.2157,1825.3132,1836.3767,1861.9052,1934.203
36,PLR127,unexpected_w,1,post,3rd,1002,4808,11,0,1948.913,1858.6034,2026.3217,2255.5413,2403.5985,2077.3937,1650.9471,1586.2019,1492.1713,1668.8855,1689.2594,1854.9194,1192.0189,962.667,975.9152,1073.8462,1302.5145,1415.3118,1355.6667,1328.3418,1402.2994
37,PLR127,unexpected_b,0,post,3rd,1002,4808,12,0,2175.6872,2136.361,2220.8111,2176.7289,2260.9307,2124.4476,1727.3907,1710.4705,1726.7267,1805.0889,1890.537,1952.2574,2125.347,2337.7938,2670.037,2758.2075,1521.5604,1387.8973,1617.1371,1711.9741,1854.2953
38,PLR127,anticipated_b,0,post,3rd,1002,4810,14,0,1782.8294,1815.5523,1749.185,1846.0661,2079.4312,2225.0958,2380.1045,2417.8266,2322.3724,2353.4094,2475.5087,2580.9249,2637.6988,2898.948,3290.8555,3263.4336,1838.5955,1657.59,1803.9479,1783.1196,1931.2417
39,PLR127,anticipated_w,1,post,3rd,1003,4812,13,0,2352.2095,2373.0543,2338.1495,2218.5908,2249.3706,2367.0041,2228.0713,2192.0779,2241.8655,2379.3163,2421.5797,2192.0187,1192.205,1030.8399,1164.9319,1262.8998,1491.0481,1662.1734,1706.5608,1928.405,1975.423
40,PLR127,anticipated_b,0,post,3rd,1003,4812,15,0,2084.981,2145.3211,2022.9936,2023.64,2163.6532,2157.5423,2306.9985,2392.3076,2428.7368,2559.634,2712.1525,2786.5564,2739.4761,2927.559,3173.3204,3079.3675,1717.2375,1507.4398,1726.41,2001.3008,2124.5004
41,PLR127,unexpected_b,0,post,3rd,1002,4810,13,0,2242.5654,2193.9944,2289.2417,2352.1617,2493.9598,2348.4567,2513.8705,2604.2437,2660.647,2750.5615,2705.0949,2674.4905,2730.5853,2875.3976,3222.1022,3364.7232,1920.7103,1587.598,1903.546,1957.8446,2305.2658
42,PLR127,unexpected_w,1,post,3rd,1002,4808,14,0,2631.3332,2628.0863,2641.0021,2484.2266,2454.2855,2621.9367,2777.6348,2851.3276,2732.8854,2695.5291,2591.3764,2551.2109,1285.5337,1054.7838,1227.2891,1358.7884,1450.8479,1539.1179,1714.2212,1905.3722,2074.0708
43,PLR127,anticipated_b,0,post,4th,1002,4810,16,0,2339.1676,2307.586,2369.7695,2402.6126,2571.7277,2350.1371,1974.1345,1539.0395,1291.8378,1201.9866,1192.405,1457.565,1837.4876,2153.3868,2499.9732,2601.9519,1467.9145,1323.0197,1438.5288,1655.0111,1799.5003
44,PLR127,anticipated_b,0,post,4th,1002,4810,17,0,2307.4836,2313.7807,2307.8649,2315.9099,2415.0655,2290.4106,2180.6444,2281.2213,2540.3889,2657.5199,2787.3026,2898.2976,2915.688,3028.8833,3263.3779,3191.9584,1714.7147,1375.1909,1661.6156,1873.7211,1833.7195
